               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.015848,            0.030025,           0.0014006,             0.99976,             0.99964,               0.995,             0.96896,            0.010546,            0.027415,           0.0010718,            0.004357,            0.004357,            0.004357
                 116,            0.015407,             0.02889,           0.0014064,             0.99981,             0.99981,               0.995,             0.97139,            0.010381,            0.026657,           0.0010703,           0.0043075,           0.0043075,           0.0043075
                 117,            0.015622,            0.029357,            0.001415,             0.99982,             0.99974,               0.995,             0.97155,            0.010389,            0.026633,            0.001062,            0.004258,            0.004258,            0.004258
                 118,            0.015737,            0.029456,           0.0013869,             0.99984,             0.99976,               0.995,             0.97075,            0.010366,            0.026795,           0.0010508,           0.0042085,           0.0042085,           0.0042085
                 119,            0.015519,            0.028848,           0.0014006,             0.99941,              0.9998,               0.995,               0.971,            0.010366,            0.026845,           0.0010491,            0.004159,            0.004159,            0.004159
                 120,            0.015467,            0.029037,            0.001368,             0.99938,             0.99978,               0.995,             0.97056,            0.010402,            0.027142,            0.001028,           0.0041095,           0.0041095,           0.0041095
                 121,            0.015322,            0.028817,           0.0013936,             0.99961,             0.99982,             0.99499,             0.97043,            0.010405,            0.027074,           0.0010145,             0.00406,             0.00406,             0.00406
                 122,            0.015471,            0.028959,           0.0013636,             0.99965,             0.99984,               0.995,             0.97001,            0.010431,            0.027077,           0.0010083,           0.0040105,           0.0040105,           0.0040105
                 123,            0.015394,            0.028592,           0.0013826,             0.99967,             0.99982,               0.995,             0.96957,            0.010428,            0.027157,           0.0010057,            0.003961,            0.003961,            0.003961
                 124,            0.015124,            0.027895,           0.0013549,              0.9997,             0.99981,               0.995,             0.97167,            0.010313,            0.026623,          0.00099768,           0.0039115,           0.0039115,           0.0039115
                 125,            0.015265,            0.028721,           0.0013508,             0.99967,             0.99981,               0.995,             0.97032,            0.010365,            0.026966,          0.00098946,            0.003862,            0.003862,            0.003862
                 126,            0.015166,            0.028628,           0.0013244,             0.99964,             0.99983,               0.995,             0.97145,            0.010315,            0.026767,          0.00097996,           0.0038125,           0.0038125,           0.0038125
                 127,            0.015274,            0.027864,            0.001338,             0.99969,             0.99979,               0.995,             0.97107,            0.010333,            0.026921,          0.00096565,            0.003763,            0.003763,            0.003763
                 128,             0.01509,             0.02801,           0.0013645,             0.99969,             0.99976,               0.995,             0.97176,            0.010318,             0.02691,          0.00096581,           0.0037135,           0.0037135,           0.0037135
                 129,             0.01491,            0.027941,            0.001311,             0.99962,             0.99983,             0.99499,             0.97316,            0.010233,            0.026455,          0.00094652,            0.003664,            0.003664,            0.003664
                 130,            0.014809,            0.027692,           0.0013166,             0.99961,             0.99986,               0.995,             0.97385,            0.010183,            0.026107,          0.00092655,           0.0036145,           0.0036145,           0.0036145
                 131,            0.014967,            0.027429,           0.0013274,             0.99971,             0.99985,               0.995,             0.97355,             0.01019,            0.026158,           0.0009121,            0.003565,            0.003565,            0.003565
                 132,            0.014779,            0.027707,           0.0012985,             0.99974,             0.99984,               0.995,             0.97376,            0.010186,            0.026141,          0.00090308,           0.0035155,           0.0035155,           0.0035155
                 133,            0.015019,            0.027616,           0.0013394,              0.9998,              0.9998,               0.995,             0.97311,            0.010188,            0.026231,            0.000903,            0.003466,            0.003466,            0.003466
                 134,            0.014722,            0.027443,           0.0012851,             0.99981,             0.99985,               0.995,             0.97369,            0.010167,            0.026225,          0.00089626,           0.0034165,           0.0034165,           0.0034165
                 135,            0.014696,            0.027622,           0.0012976,             0.99978,             0.99986,               0.995,             0.97411,            0.010133,            0.026049,          0.00089328,            0.003367,            0.003367,            0.003367
                 136,            0.014741,            0.027059,           0.0013118,             0.99977,             0.99983,               0.995,             0.97431,            0.010112,            0.026025,          0.00087147,           0.0033175,           0.0033175,           0.0033175
                 137,            0.014578,            0.027021,           0.0012826,              0.9998,             0.99982,               0.995,             0.97482,            0.010058,            0.025781,          0.00086184,            0.003268,            0.003268,            0.003268
                 138,            0.014684,            0.027025,           0.0012988,             0.99981,             0.99984,               0.995,             0.97472,            0.010064,            0.025796,           0.0008541,           0.0032185,           0.0032185,           0.0032185
                 139,            0.014451,            0.026772,           0.0012856,             0.99985,             0.99986,               0.995,             0.97395,            0.010086,            0.025912,          0.00084069,            0.003169,            0.003169,            0.003169
                 140,            0.014462,            0.026185,           0.0012483,             0.99987,             0.99987,               0.995,              0.9734,            0.010107,            0.025932,            0.000826,           0.0031195,           0.0031195,           0.0031195
                 141,            0.014565,            0.026752,           0.0012684,             0.99987,             0.99982,               0.995,             0.97382,            0.010095,            0.025941,          0.00082061,             0.00307,             0.00307,             0.00307
                 142,            0.014435,            0.026142,           0.0012554,             0.99985,             0.99984,               0.995,             0.97338,            0.010095,            0.026012,          0.00081905,           0.0030205,           0.0030205,           0.0030205
                 143,            0.014487,            0.026672,           0.0012602,             0.99985,             0.99984,               0.995,              0.9738,            0.010095,            0.026047,          0.00081753,            0.002971,            0.002971,            0.002971
                 144,              0.0144,            0.026238,           0.0012689,             0.99985,             0.99981,               0.995,             0.97403,            0.010086,             0.02605,          0.00081554,           0.0029215,           0.0029215,           0.0029215
                 145,            0.014268,            0.026038,           0.0012478,             0.99985,              0.9998,               0.995,             0.97451,            0.010059,            0.025924,          0.00080566,            0.002872,            0.002872,            0.002872
                 146,            0.014323,            0.026014,           0.0012471,             0.99984,             0.99983,               0.995,             0.97445,            0.010065,            0.025885,          0.00080017,           0.0028225,           0.0028225,           0.0028225
                 147,            0.014233,            0.026052,           0.0012248,             0.99978,             0.99983,               0.995,             0.97488,             0.01004,            0.025786,          0.00079082,            0.002773,            0.002773,            0.002773
                 148,            0.014232,             0.02606,           0.0012291,             0.99981,             0.99982,               0.995,             0.97533,            0.010038,            0.025724,          0.00078416,           0.0027235,           0.0027235,           0.0027235
                 149,            0.014144,            0.025904,           0.0012139,             0.99985,             0.99982,               0.995,              0.9753,            0.010029,            0.025646,          0.00077699,            0.002674,            0.002674,            0.002674
                 150,            0.013989,            0.025475,           0.0011887,             0.99985,             0.99982,               0.995,             0.97537,            0.010009,            0.025646,          0.00076895,           0.0026245,           0.0026245,           0.0026245
                 151,            0.013969,            0.025543,             0.00119,             0.99985,             0.99979,               0.995,             0.97497,            0.010022,            0.025777,           0.0007644,            0.002575,            0.002575,            0.002575
                 152,             0.01395,             0.02533,           0.0011939,             0.99985,             0.99979,               0.995,             0.97532,            0.010004,            0.025724,          0.00075935,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014069,            0.025767,           0.0011955,             0.99987,              0.9998,               0.995,             0.97462,            0.010032,            0.025963,          0.00075584,            0.002476,            0.002476,            0.002476
                 154,            0.014041,            0.025354,           0.0012015,             0.99988,             0.99981,               0.995,             0.97405,            0.010067,            0.026183,          0.00075194,           0.0024265,           0.0024265,           0.0024265
                 155,            0.013755,            0.024773,           0.0011689,             0.99987,             0.99981,               0.995,             0.97339,            0.010076,            0.026197,          0.00075302,            0.002377,            0.002377,            0.002377
                 156,            0.013883,            0.025466,            0.001161,             0.99987,             0.99984,               0.995,             0.97348,            0.010058,            0.026032,          0.00074816,           0.0023275,           0.0023275,           0.0023275
